Especie|Nombres vernáculo|Familia|Distribución|Descripción de la especie|Fenología|Usos 
Apeiba membranácea (Spruce ) ex Benth.   | Peine mico, Botija, peine mono. | Tiliaceae     | Se distribuye naturalmente desde Costa Rica en América central hasta Brasil en América del sur. Es una especie Heliófita que se encuentra en claros naturales de bosques primarios, prefiere suelos profundos con buen drenaje y tolera bien los su elos ácidos, sitios húmedos y baja fertilidad.   | Árbol con alturas de 15 a 35m, diámetros de 50 a 120 cm, fuste largo y recto, con aletones redondos.  La corteza es de color grisáceo, un  poco áspero y escamoso, con diminutas lentice las abundantes de forma redondeada, ubicadas a lo largo de todo el fuste. Las Hojas simples, alternas, las.  Inflorescencias están en panículas, opuestas a las hojas, de color amarillo intenso y el fruto es una cápsula aplanada cubierta de espinas rígidas p oco punzantes.   | La floración se da de Marzo a Agosto, los frutos de Enero a Junio y la dispersión de sus semillas se da por monos y guacamayas.  En bosque natural las semillas son atacadas por hongos e insectos .  | La madera es muy liviana y se utiliza en la construcción de balsas, tablilla para decoración de interiores, enchapes y cielos rasos.
Averrhoa carambola   | Carambola | Oxalidaceae   | Originario de la India hasta China, pero ha  sido ampliamente difundido en  regiones tropicales. Esta especie presenta un crecimiento rápido mediano y es muy  adaptable en términos de clima y suelos, sobre todo en regiones bajas y medias.   | Arbusto que alcanza hasta 5m de alto , su copa es densa y  redondeada. Sus hojas son compuestas, alternas, con flores amarillas o rosadas que  aparecen sobre las ramas. Sus frutos son bayas de forma estrellada alargadas, que se  tornan amarillas al madurar con pulpa jugosa muy sabrosa   | La floración se da entre los meses de julio a agosto y los frutos entre septiembre a noviembre.   | Comestible.
Alchornea costaricensis (Pax & K. Hoffm. )  | Sangrillo | Euphorbiaceae   | Se encuentran en bosq ues  húmedos, muy húmedos y secos, su  distribución va desde Honduras a  Colombia   | Es un árbol o  arbusto de 2 a 15m, hojas de margen  aserrado, las inflorescencias por lo  general son espigas o  a veces  ramificaciones, sus frutos son c ápsulas  y se reconoce por sus hojas de ápice  acuminado, simples, alternas con  estípulas pequeñas y 2 glándulas basales en el envés de la hoja.   | Las flores se observan de enero a octubre y los frutos de marzo a  agosto y también es hospedera de lep idópteros.  | Medicina tradicional. Como tintes naturales y compuestos antioxidantes. Se utiliza en carpintería, cajones, tablas, muletas, marcos para puertas y  ventanas.
Andira inermis (W.Wright) Kunth   | Almendro de montaña, Carne asada.   | Papilonaceae   |  Nativo del sur de Florida, México,  América Central, Bolivia, la Amazonía, Las  Antillas, e introducido en África. En Costa Rica  se encuentra distribuido en la Vertiente del  Pacífico. La elevación varía entre l os 0-900 m.  Se encuentra en sitios con un verano largo,  tanto en suelos arenosos como en suelos  arcillosos   |  Árbol caducifolio en  zonas secas, de rápido crecimiento, que  puede alcanzar los 35 m de altura y 170 cm de dap. El fuste e s recto casi siempre  con gambas; la copa es densa y redondeada. La corteza es gris oscuro o parda y  se exfolia en placas largas, mientras la corteza interna es pardo rosáceo claro,  además tiene olor desagradable y savia incolora.   |  Flores observad as de febrero a marzo. Frutos observados de  setiembre a octubre   |  La madera es fuerte y de gran utilidad, empleada en la fabricación  de casas, ebanistería y podría usarse favorablemente como durmientes. La  corteza y sus frutos son tóxicos. Med icinalmente se ha empleado como  antelmíntico, emético, narcótico, veneno, febrífugo y en casos de fiebre y malaria.
Acacia collinsi sinonimia Acacia costarisencis   | Cornizuelo.   | Fabaceae mimos aceae   |  Su distribución va desde  México hasta Panamá. Es muy común  encontra rlos en los claros de un bosque,   potreros,  a las orillas de los  caminos y campos abandonados. Puede encontrarse aún hasta los 1800 m.s.n.m (metros  sobre el nivel del mar ).  | Es un árbol pequeño,  siempre verde, que posee una  altura de 12 m y un diámetro de 17 cm ,empieza a extender sus ramas desde la  mitad del tallo y tiene una copa rala y angosta. La corteza es de color gris claro a  gris oscuro co n líneas verrugosas.  Las ramitas son bastantes delgadas de color  verde o verde grisáceo. Estas plantas poseen dos espinas de color café grandes y  huecas que por lo general uno puede encon trar hormigas en su interior. Sus flores  son de color amarillo,  quien es son poli nizados por abejas.   Sus frutos son vainas curvas,  aplanadas de color café a negruzco de 4 a 6 cm de  largo y como de 7 mm de ancho.   |  Fenología: Flores observadas de febrero a  abril. Frutos observados de  setiembre a octubre .  | La corteza se ha usado en remedios caseros como el dolor de  muelas,  diviesos,  tumores y sarna.
Bravaisia integerrima   (Spreng.)    | Mangle, manguillo .  | Acanthaceae   |  Nativo de México hasta Perú. Es  el único individuo nativo de la familia con  hábito arbóreo. Se distribuye en la Cordillera  del Arenal, Cordillera Volcánica Central,  Guanacaste, Osa y Pacifico Central. La  elevación varía entre 0 - 1100 m. Se  encuentra en bosques s ecos, húmedos y  muy húmedos   |  Árbol de 6 a 14 m de altura. Raíces aéreas. Ramitas  cuadrangulares. Las  Hojas simples, opuestas, de 5 a 25 cm de largo por 2 a 14  cm de ancho, elípticas a oblongo -elípticas, margen entero.  Las inflore scencias son  panículas de 8 a 15 cm de largo, con  flores blancas o blanco -rosadas, aromáticas.  Los frutos miden de 1 a 1.2 cm de largo por 0.4 a 0.5 cm de ancho, la cual  contiene  8 semillas.  |  Flores observadas en enero, febrero, setiembre y dic iembre. Los frutos  son observados en febrero y marzo.   |  Por su vistosa y aromática floración, podría usarse como  ornamental en parques o lugares recreativos.
Bixa Orellana L  | Achiote, Achote, Achiotillo de montaña   | Bixaceae   |  Es originario de la cuenca  amázonica. Se distribuye en la Cordillera  del Arenal, Cordillera Volcánica Central,  Tortuguero Guanacaste, Osa y Pacifico  Central. Se encuentra desde climas  secos hasta  muy húmedos. La elevación  varía entre 0 -1000 m.   |  Árbol o  arbusto que alcanza hasta 5 m de alto,  las hojas son simples, alternas y su follaje es compacto. Su floración es rosada y  los frutos rojizos.   |  Flores observadas d e abril a diciembre. Frutos observados de marzo a  febrero.   |  Es una especie extraordinariamente útil, los aborígenes la  utilizaban para pintarse y así protegerse de los insectos. De las semillas se extrae  la bixina, uno de los colorantes natur ales el cual se utiliza para colorear alimentos  (quesos, refrescos), producir aceites, barnices y cosmético  (lápices labiales).   Además del resto de la semilla se extrae provitamina A. Las ramitas se usan para  evitar la caída del cabello y las semillas actú an contra la gastritis. También se ha  empleado para eliminar dolores de cabeza, en casos de disentería, estreñimiento,  diabetes, fiebres y resfríos, estomatitis, gonorrea, ictericia, cancer y tumores,  epilepsia, erisipela.
Brosimum guianense  (Aubl.) Huber   | Azulillo, mariabe, granadillo.   | Moraceae.  | Se distribuye en las Cordilleras de Guanacaste, Tilarán, Volcánica central y Talamanca, Pacífico sur y central y en  zona norte. El ámbito altitudinal es de 0 -1000 m.s.n.m. Es una especie riparia.   |  Árbol de hasta 40 m de alto y 100 cm de dap. El fuste  es recto, casi cilíndrico, con pequeñas gambas. La corteza es grisácea, moteada y  lisa, con es trías en los árboles viejos. La corteza interna es cremosa, delgada y  dura. Tiene una latex cremoso, pegajoso. Las hojas son simples, alternas y con  estípulas. Las  Hojas son elípticas a obovadas y pueden medir de 4 –13 cm de  largo y 2 –4.5 cm de ancho, ápic e agudo a cortamente acuminado, base aguda a  obtusa o redondeada, glabras. Las inflorescencias  son solitarias, bisexuales,  subsésiles o con pedúnculo hasta 20 mm de largo. Los Frutos generalmente son  drupas que se  pone de color rojo cuando están maduros.   | Flores observadas de abril a diciembre. Frutos observados de marzo a  febrero. | Para arcos de flechas y violín , bastones, mangos para sombrillas, objetos  torneados, ebanistería, pisos y enchapados.
Byrsonima artrophoda (Byrsonima crispa)   | Nance de Montaña (Costa Rica).     |  Malpighiaceae.  | Se encuentra en la Cordillera  Volcánica Central y Talamanca, Zona norte y  Caribe, Pacífico central y sur. El ámbito  altitudinal es de 0 -1000 m.s.n.m.Crece bien  en suelos aluviales y arenosos.   | Árbol d el  subdosel, que alcanza  hasta 15 m de alto y  80 cm de dap. El fuste es cilíndrico y recto, la corteza es lisa, dura, gris claro,  pardo grisáceo, posee muchas lenticelas, la corteza interna es fibrosa rosada  o  anaranjada. Las hojas son simples, alternas co n estípulas. Las flores son  bisexuales, agrupadas en racimos y los frutos son drupas amarillas al madurar,  con tres semillas.   | Flores observadas de febrero a abril. Frutos observados de mayo a  julio.  |  Utilizada en construcción general y de interiores, muebles, gabinetes,  postes para cerca y proporciona buena leña y carbón. Es comestible, tiene mejor  sabor que el nance común.
Byrsonima crassifolia     | Nance. | Malpighiaceae  | Es nativo de México hasta Brasil. En  Costa Rica se encuentra en la Cordillera   Volcánica Central, el Pacífico norte, central y sur, la zona Norte y la zona del  Caribe.   | Árbol que alcanza hasta 7 m de alto, la copa es  irregular, con ramas que ramifican hasta el suelo. Sus hojas son simples,  opuestas. Las flores son pequeñas de coloración amarilla o anaranjada, en  racimos o panículas terminales. Los frutos son drupas de c olor amarillo o  levemente anaranjadas, con una semilla.   | Flores observadas en abril a agosto. Frutos observados en las mismas  fechas que las flores.   | La decocción sirve como antiinflamatoria. La corteza y flores al ser  decocidas controlan l a amigdalitis, tos, fiebres disentería y diarreas, se  recomienda tomar dos tazas al día. Se utiliza para problemas dérmicos, granos,  ulceras, enjuagues bucales, anginas y dolores de muela.
Cedrela odorata   | Cedro, cedro americano,cedro amargo.   | Meliaceae | Se distribuye desde el sur de  México hasta América del Sur y las Antillas. En  Costa Rica se encuentra en la Cordillera  Volcánica Central, el Pacífico norte, central y  sur, la zona Norte y la zona del Caribe.   El ámbito de elevación varía de 0 -1200 m.s.n.m;  en los bosques seco tropical y húmedo tropical,  aunque también se encuentra hasta los 2000  m.s.n.m. El cedro crece en suelos bien drenados  y no tolera bien los suelos con desbalance nutricional, soporta variaciones en el  pH y requiere buenos niveles de luz (heliófitas).   | Alcanza hasta 40 metros de  altura y un diámetro  llega a los 100 cm; crece recto,  se ramifica formando una copa amplia y redonda.  La  corteza externa es de color pardo negruzco, duro,  fuerte y la corteza interna es rosada, tiene olor a ajo y  sabor amargo. Sus hojas son compuestas, pinnadas y  alternas; sus flores, reunidas en panículas terminales, son pequeñas de color verde -amarillen to, con un olor peculiar parecido al ajo.   Los frutos son cápsulas duras de forma oblongo -elípticas, con semillas aladas, de  color café con puntos blanquecinos.   | Su floración es de mayo a junio y los frutos son de julio a septiembre.   | Se utiliza para la fabricación de muebles  finos, artículos tallados, instrumentos musicales y  construcciones.
Cecropia sp.   | Gaurumo  | Urticaceae | Se distribuye naturalmente  desde México hasta Ecuador. En Costa  Rica se encuentra en la Cordillera  Volcánica Central, el Pacífico norte,  central y sur, la zona Norte y la zona del  Caribe. El ámbito de elevación varía de 0-2000 m.s.n.m; en los bosqu es seco tropical y húmedo tropical.   | Árbol que alcanza hasta los 20 m de alto, posee un  tronco delgado, el cual sostiene una copa en forma de sombrilla. Las hojas son  simples, alternas, grandes palmeadas y se concentra al final de  las ramas. Las  inflorescencias son unas espigas que se agrupan en el pedúnculo común. El  tronco de esta especie es hueco, por lo que habitan generalmente hormigas  bastante agresivas.   | Flores observadas en abril a septiembre. Frutos observados en  las  mismas fechas que las flores.   | Es muy apetecido por diferentes tipos de aves. Además se usa como  medicinal en distintas enfermedades y otras tales  como: Quemante de grasa,  para enfermedades broncopulmonares como asma, bronquitis, tos, gripe, res fríos,  catarro y neumonía. Para el reumatismo, diarreas, infecciones urinarias. Es  hipotensor, para lavar heridas. Las hojas secas en infusión son utilizadas para la  diabetes, antiinflamatorias y congestión hepática.
