Nombre científico ;Nombre común ;Familia 
Abarema adenophora (Ducke) Barneby & J. W. G ;Nene , Ojo de gringo ;Fabaceae-Mim. 
Abarema barbouriana (Standl.) Barneby & Grime ;Niñañiri ;Fabaceae-Mim. 
Abarema idiopoda (S.F. Blake) Barneby & J ;Cashá , Espino amarillo , Espino blanco ;Fabaceae-Mim. 
Abarema macradenia (Pittier) Barneby & J. W. ;Ajillo , Arenillo , Cenízaro amarillo , Cenízaro macho , Cola de pavo , Guabo de montaña , Ojo de gringo ;Fabaceae-Mim. 
Acacia angustissima (Mill.) Kuntze ;Carboncillo ;Fabaceae-Mim. 
Acacia collinsii Saff. ;Cornizuelo ;Fabaceae-Mim. 
Acacia tenuifolia (L.) Willd. ;Amor fino , Rabo de iguana , Uña de gato ;Fabaceae-Mim. 
Acidoton nicaraguensis (Hemsl.) G. L. Webster ;Barranquillo ;Euphorbiaceae 
Acnistus arborescens (L.) Schltdl. ;Güitite , Huitite ;Solanaceae 
Acosmiun panamense (Benth.) Yakovlev ;Carboncillo , Chichipate , Comenegro , Guayacán ;Fabaceae-Pap. 
Acrocarpus fraxinifolius Wight & Arn. ;Cedro rojo ;Fabaceae-Caes. 
Acrocomia aculeata (Jacq.) Lodd. ex Mart. e ;Coyol ;Arecaceae 
Aiouea costaricensis (Mez) Kosterm. ;Guayabón , Ira , Ira mangle , Mangle , Sura ;Lauraceae 
Aiphanes caryotifolia (Kunth) O. F. Cook ;Coyure ;Arecaceae 
Albizia adinocephala (Donn. Sm.) Britton & Ros ;Gallinazo , Gavilán , Gavilana , Gavilancillo , Guanacaste blanco ;Fabaceae-Mim. 
Albizia carbonaria Britton ;Pisquil ;Fabaceae-Mim. 
Albizia guachapele (Kunth) Dugand ;Cenízaro macho Guayaquil ;Fabaceae-Mim. 
Albizia niopoides (Spruce ex Benth.) Burkar ;Cenízaro macho , Gallinazo , Gavilán pacífico central , Gavilancillo , Guanacaste blanco ;Fabaceae-Mim. 
Alchornea costaricensis Pax & K. Hoffm. ;Chasparría , Fosforillo , Fósforo , Fósforo , Ira ;Euphorbiaceae 
Alchornea floribunda (Benth.) Müll. Arg. ;Ira , Morilla ;Euphorbiaceae 
Alchornea latifolia Sw. ;Canelito , Chapanea , Chasparrio , Chayote  , Peine , Tabaquillo ;Euphorbiaceae 
Alfaroa costaricensis Standl. ;Campano chile Gaulín ;Juglandaceae 
Alfaroa guanacastensis D. E. Stone ;Rabo de ardilla ;Juglandaceae 
Alibertia edulis (Rich.) A. Rich. ;Madroño Trompillo , Trompito ;Rubiaceae 
Alnus acuminata Kunth ;Jaúl ;Betulaceae 
Alvaradoa amorphoides Liebm. ;Ardillo , Arenillo , Cirricillo , Rabo de ardilla ;Simaroubaceae 
Amanoa guianensis Aubl. ;Yerrillo ;Euphorbiaceae 
Ampelocera macrocarpa Forero & A. H. Gentry ;Yodo ;Ulmaceae 
